title,info,author,narrator,release_date,publisher,listening_length,language,version,program_type,copyright,ratings,number_of_reviews
Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones," Brought to you by Penguin.The phenomenal international best seller. Listen to the book everyone is talking about.Transform your life with tiny changes in behaviour, starting now.There's never been a better time to make a few tiny changes that will revolutionise your life.A revolutionary system to get one per cent better every day.People think when you want to change your life, you need to think big. But world-renowned habits expert James Clear has discovered another way. He knows that real change comes from the compound effect of hundreds of small decisions – doing two push-ups a day, waking up five minutes early, or holding a single short phone call.He calls them atomic habits.In this ground-breaking book, Clear reveals exactly how these minuscule changes can grow into such life-altering outcomes. He uncovers a handful of simple life hacks (the forgotten art of Habit Stacking, the unexpected power of the Two Minute Rule, or the trick to entering the Goldilocks Zone) and delves into cutting-edge psychology and neuroscience to explain why they matter. Along the way, he tells inspiring stories of Olympic gold medalists, leading CEOs and distinguished scientists who have used the science of tiny habits to stay productive, motivated, and happy. These small changes will have a revolutionary effect on your career, your relationships, and your life. ",James Clear,James Clear, 18 October 2018 ,Penguin Audio, 5 hours and 35 minutes , English , Unabridged , Audiobook ,©2018 James Clear (P)2018 Penguin Audio,4.6 out of 5 stars,"89,121 ratings"
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness"," Doing well with money isn’t necessarily about what you know. It’s about how you behave. And behavior is hard to teach, even to really smart people. Money - investing, personal finance, and business decisions - is typically taught as a math-based field, where data and formulas tell us exactly what to do. But in the real world people don’t make financial decisions on a spreadsheet. They make them at the dinner table, or in a meeting room, where personal history, your own unique view of the world, ego, pride, marketing, and odd incentives are scrambled together.  In The Psychology of Money, award-winning author Morgan Housel shares 19 short stories exploring the strange ways people think about money and teaches you how to make better sense of one of life’s most important topics. ",Morgan Housel,Chris Hill, 8 September 2020 ,Harriman House, 5 hours and 48 minutes , English , Unabridged , Audiobook ,©2020 Harriman House (P)2020 Harriman House,4.6 out of 5 stars,"58,855 ratings"
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships," ""You'll not only break the ice, you'll melt it away with your new skills."" -Larry King""The lost art of verbal communication may be revitalized by Leil Lowndes."" -Harvey McKay, author of How to Swim with the Sharks Without Being Eaten AliveWhat is that magic quality that makes some people instantly loved and respected? Everyone wants to be their friend (or, if single, their lover). In business, they rise swiftly to the top of the corporate ladder. What is their “Midas touch?”What it boils down to is a more skillful way of dealing with people.The author has spent her career teaching people how to communicate for success. In her book How to Talk to Anyone, Lowndes offers 92 easy and effective sure-fire success techniques - she takes the listener from first meeting all the way up to sophisticated techniques used by the big winners in life. In this information-packed audiobook you’ll find:9 ways to make a dynamite first impression14 ways to master small talk, “big talk,” and body language14 ways to walk and talk like a VIP or celebrity6 ways to sound like an insider in any crowd7 ways to establish deep subliminal rapport with anyone9 ways to feed someone’s ego (and know when NOT to!)11 ways to make your phone a powerful communications tool15 ways to work a party like a politician works a room7 ways to talk with tigers and not get eaten aliveIn her trademark entertaining and straight-shooting style, Leil gives the techniques catchy names so you’ll remember them when you really need them, including: “Rubberneck the Room,” “Be a Copyclass,” “Come Hither Hands,” “Bare Their Hot Button,” “The Great Scorecard in the Sky,” and “Play the Tombstone Game,” for big success in your social life, romance, and business.How to Talk to Anyone, which is an update of her popular book, Talking the Winner's Way (see the 5-star reviews of the latter) is based on solid research about techniques that work!By the way, don't confuse How to Talk to Anyone with one of Leil's previous books, How to Talk to Anybody About Anything. This one is completely different! ",Leil Lowndes,Leil Lowndes, 1 September 2015 ,Brilliance Audio, 8 hours and 59 minutes , English , Unabridged , Audiobook ,"©2003 Leil Lowndes. (P)2015 Brilliance Audio, all rights reserved.",4.4 out of 5 stars,"12,391 ratings"
Ikigai: The Japanese Secret to a Long and Happy Life," Brought to you by Penguin.The international bestseller.We all have an ikigai.It's the Japanese word for ‘a reason to live’ or ‘a reason to jump out of bed in the morning’. It’s the place where your needs, desires, ambitions and satisfaction meet. A place of balance. Small wonder that finding your ikigai is closely linked to living longer.Finding your ikigai is easier than you might think. This audiobook will help you work out what your own ikigai really is and equip you to change your life. You have a purpose in this world: your skills, your interests, your desires and your history have made you the perfect candidate for something. All you have to do is find it.Do that and you can make every single day of your life joyful and meaningful.PLEASE NOTE: When you purchase this title, the accompanying reference material will be available in your Library section along with the audio on our desktop site.  ",Héctor García,Naoko Mori, 18 September 2017 ,Random House Audiobooks, 3 hours and 23 minutes , English , Unabridged , Audiobook ,©2017 Francesc Miralles and Héctor García (P)2017 Random House Audiobooks,4.6 out of 5 stars,"52,528 ratings"
Don't Believe Everything You Think: Why Your Thinking Is the Beginning & End of Suffering," Learn how to overcome anxiety, self-doubt, and self-sabotage without needing to rely on motivation or willpower.In this audiobook, you'll discover the root cause of all psychological and emotional suffering and how to achieve freedom of mind to effortlessly create the life you've always wanted to live.Although pain is inevitable, suffering is optional.This audiobook offers a completely new paradigm and understanding of where our human experience comes from,allowing us to end our own suffering and create how we want to feel at any moment.In this audiobook, you’ll discover:The root cause of all psychological and emotional suffering and how to end itHow to become unaffected by negative thoughts and feelingsHow to experience unconditional love, peace, and joy in the present, no matter what our external circumstances look likeHow to instantly create a new experience of life if you don’t like the one you’re in right nowHow to break free from a negative thought loop when we inevitably get caught in oneHow to let go of anxiety, self-doubt, self-sabotage, and any self-destructive habitsHow to effortlessly create from a state of abundance, flow, and easeHow to develop the superpower of being okay with not knowing and uncertaintyHow to access your intuition and inner wisdom that goes beyond the limitations of thinkingNo matter what has happened to you, where you are from, or what you have done, you can still find total peace, unconditional love, complete fulfillment, and an abundance of joy in your life.No person is an exception to this. Darkness only exists because of the light, which means even in our darkest hour, light must exist.This audiobook contains timeless wisdom to empower you with the understanding of our mind’s infinite potential to create any experience of life that we want no matter the external circumstances.Don’t Believe Everything You Think is not about rewiring your brain, rewriting your past, positive thinking, or anything of the sort.We cannot solve our problems with the same level of consciousness that created them. Tactics are temporary. An expansion of consciousness is permanent.This audiobook was written to help you go beyond your thinking and discover the truth of what you already intuitively know deep inside your soul. ",Joseph Nguyen,Joseph Nguyen, 13 April 2022 ,Joseph Nguyen, 2 hours and 16 minutes , English , Unabridged , Audiobook ,©2022 Joseph Nguyen (P)2022 Joseph Nguyen,4.5 out of 5 stars,"4,041 ratings"
Feel-Good Productivity: How to Do More of What Matters to You," Brought to you by Penguin.The secret to productivity isn't discipline. It's joy.We think that productivity is all about hard work. That the road to success is lined with endless frustration and toil. But what if there's another way?Dr Ali Abdaal - the world's most-followed productivity expert - has uncovered an easier, happier path to success. Drawing on decades of psychological research, he has found that the secret to productivity and success isn't grind - it's feeling good. If you can make your work feel good, then productivity takes care of itself.In this revolutionary book, Ali reveals how the science of feel-good productivity can transform your life. He introduces the three hidden 'energisers' that underpin enjoyable productivity, the three 'blockers' we must overcome to beat procrastination, and the three 'sustainers' that prevent burnout and help us achieve lasting fulfilment. He recounts the inspiring stories of founders, Olympians, and Nobel-winning scientists who embody the principles of Feel-Good Productivity. And he introduces the simple, actionable changes that you can use to achieve more and live better, starting today.Armed with Ali's insights, you won't just accomplish more. You'll feel happier and more fulfilled along the way.PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio. ",Ali Abdaal,Ali Abdaal, 28 December 2023 ,Penguin Audio, 5 hours and 30 minutes , English , Unabridged , Audiobook ,©2023 Ali Abdaal (P)2023 Penguin Audio,4.5 out of 5 stars,764 ratings
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!," Rich Dad Poor Dad is the #1 personal finance book of all time. Listen today to set yourself up for a wealthy, happy future.Robert Kiyosaki’s easy tips and straight talk will…Explode the myth that you need to earn a high income to become richChallenge the belief that your house is an assetDefine once and for all an asset and a liabilityShow parents why they can’t rely on the school system to educate kids about moneyClearly lay out what to teach kids about money for their future financial successWith an incredible number of 5-star reviews, Rich Dad Poor Dad has challenged and changed the way tens of millions of people around the world think about money. With perspectives that often contradict conventional wisdom, Kiyosaki has earned a reputation for irreverence and courage. He is regarded worldwide as a passionate advocate for financial education. His easy-to-understand audiobook empowers you to make changes now - and enjoy the results for years to come.""The main reason people struggle financially is because they have spent years in school but learned nothing about money. The result is that people learn to work for money… but never learn to have money work for them."" --Robert Kiyosaki Rich Dad Poor Dad - The #1 Personal Finance Book of All Time!“Rich Dad Poor Dad is a starting point for anyone looking to gain control of their financial future.”  --USA Today ",Robert T. Kiyosaki,Tim Wheeler, 15 June 2012 ,Brilliance Audio, 6 hours and 9 minutes , English , Unabridged , Audiobook ,"©2011 by CASHFLOW Technologies, Inc. (P)2012 Brilliance Audio, all rights reserved.",4.5 out of 5 stars,"18,044 ratings"
Sapiens," Brought to you by Penguin.The multi-million copy best seller.What makes us brilliant? What makes us deadly? What makes us Sapiens?Yuval Noah Harari challenges everything we know about being human. Earth is 4.5 billion years old. In just a fraction of that time, one species among countless others has conquered it: us.In this bold and provocative audiobook, Yuval Noah Harari explores who we are, how we got here and where we’re going.One of the Guardian's 100 best books of the 21st century. ",Yuval Noah Harari,Derek Perkins, 30 April 2015 ,Random House Audiobooks, 15 hours and 18 minutes , English , Unabridged , Audiobook ,©2011 Yuval Noah Harari (P)2015 Penguin Audio,4.7 out of 5 stars,"117,462 ratings"
The Power of Your Subconscious Mind," The Power of Your Subconscious Mind will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time, which can help you heal yourself, banish your fears, sleep better, enjoy better relationships, and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.In this book, the author fuses his spiritual wisdom and scientific research to bring to light how the sub-conscious mind can be a major influence on our daily lives. Once you understand your subconscious mind, you can also control or get rid of the various phobias that you may have in turn opening a brand new world of positive energy.  ",Joseph Murphy,Mark White, 6 November 2019 ,Page2Page, 7 hours and 13 minutes , English , Unabridged , Audiobook ,©2019 Joseph Murphy (P)2019 Page2Page,4.5 out of 5 stars,"80,716 ratings"
"Same as Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life"," When planning for the future we often ask, “What will the economy be doing this time next year?” Or, “What will be different ten years from now?”  But forecasting is hard. The important events that will shape the future are inherently unpredictable.  Instead, we should be asking a different question:  What will be the same ten years from now?  What will be the same one hundred years from now?  Knowledge of the things that never change is more useful, and more important, than an uncertain prediction of an unknowable future.  In Same As Ever, bestselling author Morgan Housel shares 24 short stories about the ways that life, behaviour, and business will always be the same.  Armed with this knowledge of the unchanging, you will have a powerful new ability to think about risk, opportunity, and how to navigate the uncertainty of the future.  As you see familiar themes repeat again and again in the years ahead, you’ll find yourself nodding and saying, “Yep, same as ever.” ",Morgan Housel,Chris Hill, 7 November 2023 ,Harriman House, 5 hours and 46 minutes , English , Unabridged , Audiobook ,©2023 Morgan Housel (P)2023 Penguin Audio,4.4 out of 5 stars,"1,275 ratings"
